RowNumber;CustomerId;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
80;15740404;758;France;Female;34;3;0;2;1;1;124226.16;0
81;15718369;795;Germany;Female;33;9;130862.43;1;1;1;114935.21;0
82;15642004;686;France;Male;25;1;0;2;0;1;16459.37;0
83;15712543;789;Germany;Male;39;7;124828.46;2;1;1;124411.08;0
84;15802381;461;Germany;Female;34;5;63663.93;1;0;1;167784.28;0
85;15610156;637;France;Male;40;2;133463.1;1;0;1;93165.34;0
86;15594408;584;Spain;Female;48;2;213146.2;1;1;0;75161.25;1
87;15640905;579;Spain;Female;35;1;129490.36;2;0;1;8590.83;1
88;15698932;756;Germany;Male;44;10;137452.09;1;1;0;189543.9;0
89;15628145;682;France;Female;43;5;125851.93;1;1;1;193318.33;0
90;15713483;793;Spain;Male;52;2;0;1;1;0;159123.82;1
91;15612350;691;France;Female;31;5;40915.55;1;1;0;126213.84;1
92;15800703;485;Spain;Female;21;5;113157.22;1;1;1;54141.5;0
93;15705707;635;Spain;Female;29;8;138296.94;2;1;0;141075.51;0
94;15703264;735;France;Male;44;9;120681.63;1;1;0;74836.34;0
95;15794413;416;France;Male;32;0;0;2;0;1;878.87;0
96;15650237;754;Spain;Female;32;7;0;2;1;0;89520.75;0
97;15811589;716;Spain;Male;42;8;0;2;1;0;180800.42;0
98;15689044;539;France;Male;37;2;127609.59;1;1;0;98646.22;0
99;15709368;614;France;Female;43;6;0;2;1;1;109041.53;0
100;15655007;758;France;Female;33;7;0;2;0;0;82996.47;0
101;15623595;586;Spain;Female;28;2;0;2;1;1;92067.35;0
102;15804017;631;Germany;Female;33;4;123246.7;1;0;0;112687.57;0
103;15692132;717;Spain;Female;22;6;101060.25;1;0;1;84699.56;0
104;15630910;800;France;Female;49;7;108007.36;1;0;0;47125.11;0
105;15680772;721;Spain;Female;36;2;0;2;1;1;106977.8;0
106;15658929;683;Spain;Male;29;0;133702.89;1;1;0;55582.54;1
107;15585388;660;Germany;Male;31;9;125189.75;2;1;1;139874.43;0
108;15724623;704;Germany;Female;24;7;113034.22;1;1;0;162503.48;1
109;15588537;615;Spain;Female;41;9;109013.23;1;1;0;196499.96;0
110;15574692;667;Spain;Female;39;2;0;2;1;0;40721.24;1
111;15611325;682;Germany;Male;24;9;57929.81;2;0;0;53134.3;0
112;15613172;628;Germany;Male;27;5;95826.49;2;1;0;155996.96;0
113;15651022;480;Germany;Male;44;10;129608.57;1;1;0;5472.7;1
114;15586310;578;France;Male;30;4;169462.09;1;1;0;112187.11;0
115;15625524;512;France;Male;40;5;0;2;1;1;146457.83;0
116;15755209;484;Spain;Female;35;7;133868.21;1;1;1;27286.1;0
117;15645248;510;France;Female;30;0;0;2;1;1;130553.47;0
118;15790355;606;Germany;Male;36;5;190479.48;2;0;0;179351.89;0
119;15762615;597;Spain;Female;40;8;101993.12;1;0;1;94774.12;0
120;15625426;754;Germany;Female;55;3;161608.81;1;1;0;8080.85;1
121;15716334;850;Spain;Female;45;2;122311.21;1;1;1;19482.5;0
122;15621075;778;Germany;Female;45;1;162150.42;2;1;0;174531.27;0
123;15654506;514;France;Male;32;8;0;2;1;0;95857.18;0
124;15771977;730;France;Female;39;1;99010.67;1;1;0;194945.8;0
125;15587421;687;Germany;Female;34;7;111388.18;2;1;0;148564.76;0
126;15726931;715;France;Female;41;8;56214.85;2;0;0;92982.61;1
127;15771086;512;France;Female;36;3;84327.77;2;1;0;17675.36;0
128;15702741;601;France;Male;32;8;93012.89;1;1;0;86957.42;0
129;15679200;580;Spain;Male;29;9;61710.44;2;1;0;128077.8;0
130;15594815;807;France;Male;35;3;174790.15;1;1;1;600.36;0
131;15635905;616;Spain;Female;32;6;0;2;1;1;43001.46;0
132;15656176;501;France;Male;57;10;0;2;1;1;47847.19;0
133;15811127;521;France;Male;35;6;96423.84;1;1;0;10488.44;0
134;15604482;850;Spain;Male;30;2;141040.01;1;1;1;5978.2;0
135;15600974;516;Spain;Male;50;5;0;1;0;1;146145.93;1
136;15727868;711;France;Female;38;2;129022.06;2;1;1;14374.86;1
137;15627801;512;Spain;Male;33;3;176666.62;1;1;0;94670.77;0
138;15773039;550;France;Male;37;3;0;1;1;1;179670.31;0
139;15755262;608;Spain;Female;41;3;89763.84;1;0;0;199304.74;1
140;15679531;618;France;Male;34;5;134954.53;1;1;1;151954.39;0
141;15752047;689;Germany;Male;33;2;161814.64;2;1;0;169381.9;0
142;15785542;572;Germany;Male;26;4;118287.01;2;0;0;60427.3;0
143;15723488;668;Germany;Male;47;7;106854.21;1;0;1;157959.02;1
144;15680920;695;France;Male;46;7;49512.55;1;1;0;133007.34;0
145;15786308;730;Spain;Female;33;9;0;2;0;0;176576.62;0
146;15733247;850;France;Male;33;10;0;1;1;0;4861.72;1
147;15568748;671;Germany;Male;45;6;99564.22;1;1;1;108872.45;1
148;15699029;670;France;Male;37;4;170557.91;2;1;0;198252.88;0
149;15637753;751;Germany;Male;50;2;96888.39;1;1;0;77206.25;1
150;15605461;594;Germany;Female;29;3;130830.22;1;1;0;61048.53;0
151;15808473;673;France;Male;72;1;0;2;0;1;111981.19;0
152;15627000;610;France;Male;40;0;0;2;1;0;62232.6;0
153;15723886;767;Germany;Male;20;3;119714.25;2;0;1;150135.38;0
154;15704769;585;France;Female;67;5;113978.97;2;0;1;93146.11;0
155;15772896;763;Germany;Male;42;6;100160.75;1;1;0;33462.94;1
156;15711540;712;France;Female;29;2;0;1;1;1;144375;0
157;15794056;668;France;Female;46;2;0;3;1;0;89048.46;1
158;15795149;703;France;Male;28;2;81173.83;2;0;1;162812.16;0
159;15812009;662;Spain;Male;38;4;0;2;1;0;136259.65;0
160;15576269;523;Spain;Male;34;7;0;2;1;0;62030.06;0
161;15797219;635;France;Female;40;10;123497.58;1;1;0;131953.23;1
162;15685500;772;Germany;Male;26;7;152400.51;2;1;0;79414;0
163;15657566;634;Germany;Male;24;8;103097.85;1;1;1;157577.29;0
164;15628112;771;Germany;Female;36;5;77846.9;1;0;0;99805.99;0
165;15753754;587;Spain;Female;34;1;0;2;1;1;97932.68;0
166;15793726;681;France;Female;79;0;0;2;0;1;170968.99;0
167;15665834;696;Spain;Male;28;8;0;1;0;0;176713.47;0
168;15765297;766;Spain;Male;41;0;0;2;0;1;34283.23;0
169;15636684;727;France;Male;34;10;0;2;1;1;198637.34;0
170;15592979;671;Germany;Female;34;6;37266.67;2;0;0;156917.12;0
171;15750803;693;France;Female;30;6;127992.25;1;1;1;50457.2;0
172;15607178;850;Germany;Male;38;3;54901.01;1;1;1;140075.55;0
173;15713853;732;Germany;Male;42;9;108748.08;2;1;1;65323.11;0
174;15673481;726;Spain;Female;48;6;99906.19;1;1;0;64323.24;0
175;15686776;557;France;Female;32;6;184686.41;2;1;0;14956.44;0
176;15673693;682;France;Female;26;0;110654.02;1;0;1;111879.21;0
177;15813163;531;Spain;Female;36;9;99240.51;1;1;0;123137.01;0
178;15653857;498;France;Male;34;2;0;2;1;1;148528.24;0
179;15777076;651;France;Male;36;7;0;2;1;0;13898.31;0
180;15717398;549;Spain;Female;39;7;0;1;0;0;81259.25;1
181;15799217;791;Germany;Female;35;7;52436.2;1;1;0;161051.75;0
182;15619955;733;Germany;Male;34;3;100337.96;3;1;0;48559.19;1
183;15800116;712;Germany;Male;28;4;145605.44;1;0;1;93883.53;0
184;15767339;777;France;Female;53;10;0;2;1;0;189992.97;0
185;15683562;646;France;Male;35;6;84026.86;1;0;1;164255.69;0
186;15782210;714;France;Male;46;1;0;1;1;0;152167.79;1
187;15668893;782;France;Male;39;8;0;2;1;1;33949.67;0
188;15708608;799;France;Female;22;8;174185.98;2;0;1;192633.85;0
189;15626144;675;France;Male;40;7;113208.86;2;1;0;34577.36;0
190;15573112;602;Spain;Male;29;5;103907.28;1;1;0;161229.84;0
191;15652266;703;Germany;Male;42;9;63227;1;0;1;137316.32;0
192;15590241;750;Spain;Female;34;9;112822.26;1;0;0;150401.53;1
193;15785819;681;France;Male;38;3;0;2;1;1;112491.96;0
194;15723654;773;France;Male;25;2;135903.33;1;1;0;73656.38;0
195;15774510;714;France;Female;31;4;125169.26;1;1;1;106636.89;0
196;15684173;687;Spain;Female;44;7;0;3;1;0;155853.52;1
197;15811490;627;France;Male;33;5;0;2;1;1;103737.82;0
198;15803976;694;France;Female;31;10;0;2;1;0;160990.27;0
199;15682541;616;Spain;Female;36;6;132311.71;1;0;0;15462.84;0
200;15695699;687;France;Male;35;8;0;2;1;0;10334.05;0
201;15812191;553;France;Male;33;4;118082.89;1;0;0;94440.45;0
202;15636673;667;France;Male;31;1;119266.69;1;1;1;28257.63;0
203;15594898;731;France;Male;43;2;0;1;1;1;170034.95;1
204;15773972;614;France;Male;50;4;137104.47;1;1;0;127166.49;1
205;15712287;652;France;Female;80;4;0;2;1;1;188603.07;0
206;15797960;806;Germany;Female;59;0;135296.33;1;1;0;182822.5;0
207;15631868;744;Spain;Male;36;2;153804.44;1;1;1;87213.33;0
208;15581539;474;Spain;Male;37;3;0;2;0;0;57175.32;0
209;15666252;706;Spain;Male;42;9;0;2;1;1;28714.34;0
210;15677512;628;Spain;Female;22;3;0;1;1;0;85426.28;0
211;15626114;429;France;Male;24;4;95741.75;1;1;0;46170.75;0
212;15810834;525;Spain;Female;57;2;145965.33;1;1;1;64448.36;0
213;15678910;680;France;Female;30;8;141441.75;1;1;1;16278.97;0
214;15694408;749;France;Male;40;1;139290.41;1;1;0;182855.42;1
215;15585215;763;France;Female;31;4;0;2;0;0;50404.72;0
216;15682757;734;France;Male;30;3;0;2;1;0;107640.25;0
217;15601848;594;France;Male;35;2;0;2;1;0;103480.69;0
218;15702669;663;Germany;Male;44;2;117028.6;2;0;1;144680.18;0
219;15728669;584;Germany;Female;30;8;112013.81;1;1;0;177772.03;1
220;15636624;805;Spain;Female;39;5;165272.13;1;1;0;14109.85;1
221;15745844;642;Germany;Female;40;6;129502.49;2;0;1;86099.23;1
222;15786170;659;France;Male;31;4;118342.26;1;0;0;161574.19;0
223;15684484;543;France;Male;22;8;0;2;0;0;127587.22;0
224;15658935;630;Germany;Female;34;9;106937.05;2;1;0;138275.01;0
225;15747358;643;Germany;Male;59;3;170331.37;1;1;1;32171.79;0
226;15593365;762;Spain;Male;39;2;81273.13;1;1;1;18719.67;0
227;15777352;568;Spain;Female;32;7;169399.6;1;1;0;61936.22;0
228;15812007;670;Spain;Male;25;6;0;2;1;1;78358.94;0
229;15739438;539;France;Male;30;0;0;2;1;0;160979.66;0
230;15611759;850;Spain;Female;57;8;126776.3;2;1;1;132298.49;0
231;15661629;522;Spain;Male;34;9;126436.29;1;1;0;174248.52;1
232;15633950;737;France;Male;41;1;101960.74;1;1;1;123547.28;0
233;15803716;706;Spain;Male;28;3;0;2;0;1;181543.67;0
234;15696674;643;Germany;Female;45;2;150842.93;1;0;1;2319.96;1
235;15745088;443;Germany;Female;29;9;99027.61;2;1;0;10940.4;0
236;15613085;628;Spain;Female;33;3;0;1;1;1;188193.25;0
237;15633537;540;Germany;Female;42;9;87271.41;2;1;0;172572.64;0
238;15594720;460;Germany;Female;35;8;102742.91;2;1;1;189339.6;0
239;15684042;636;Germany;Male;34;2;40105.51;2;0;1;53512.16;0
240;15583303;593;France;Female;29;2;152265.43;1;1;0;34004.44;0
241;15611579;801;Spain;Male;42;4;141947.67;1;1;1;10598.29;0
242;15774696;640;Germany;Female;75;1;106307.91;2;0;1;113428.77;0
243;15688074;802;Germany;Male;31;1;125013.72;1;1;1;187658.09;0
244;15759537;717;Germany;Male;35;7;58469.37;2;1;1;172459.39;0
245;15758449;769;France;Female;39;8;0;1;0;1;21016;0
246;15667871;572;Spain;Male;35;4;152390.26;1;1;0;128123.66;0
247;15629677;687;Spain;Female;39;2;0;3;0;0;188150.6;1
248;15713578;483;France;Female;50;9;0;2;1;1;111020.24;0
249;15568240;492;Germany;Female;30;10;77168.87;2;0;1;146700.22;0
250;15622993;709;Germany;Male;28;8;124695.72;2;1;0;145251.35;0
251;15689294;705;Germany;Male;44;3;105934.96;1;1;0;82463.69;0
252;15721181;611;Spain;Male;46;6;0;2;1;0;45886.33;0
253;15748936;709;Spain;Female;45;2;0;2;0;1;162922.65;0
254;15685226;712;Germany;Female;29;7;147199.07;1;1;1;84932.4;0
255;15785611;752;Germany;Male;38;3;183102.29;1;1;1;71557.12;0
256;15573456;648;Spain;Male;46;9;127209;2;1;0;77405.95;1
257;15620505;594;Spain;Female;24;0;97378.54;1;1;1;71405.17;0
258;15584766;557;France;Male;33;3;54503.55;1;1;1;371.05;0
259;15762218;701;France;Female;39;9;0;2;0;1;145894.9;0
260;15646372;616;France;Female;66;1;135842.41;1;1;0;183840.51;1
261;15690452;605;France;Male;52;1;63349.75;1;1;0;108887.44;0
262;15781589;751;Spain;Male;52;8;0;2;0;1;179291.85;0
263;15642291;685;France;Male;23;8;0;2;1;1;112239.03;0
264;15692761;718;France;Male;36;9;0;1;1;0;45909.87;0
265;15578045;538;Spain;Female;49;9;141434.04;1;0;0;173779.25;1
266;15745354;611;Spain;Female;37;4;0;2;1;0;125696.26;0
267;15691625;537;Germany;Female;41;3;138306.34;1;1;0;106761.47;0
268;15566594;709;Spain;Male;23;10;0;2;0;0;129590.18;0
269;15760431;850;France;Male;38;1;0;2;1;1;80006.65;0
270;15686302;745;Spain;Female;31;3;124328.84;1;1;1;140451.52;0
271;15801559;693;Germany;Female;41;9;181461.48;3;1;1;187929.43;1
272;15810432;795;Spain;Male;35;8;0;2;1;0;167155.36;0
273;15809616;626;Spain;Male;26;8;0;2;0;0;191420.71;0
274;15720559;487;Germany;Female;61;5;110368.03;1;0;0;11384.45;1
275;15695632;556;France;Female;39;9;89588.35;1;1;1;94898.1;0
276;15659843;643;France;Female;46;6;0;2;0;0;106781.59;0
277;15615624;605;France;Female;28;6;0;2;0;0;159508.52;0
278;15674551;535;Germany;Male;40;7;111756.5;1;1;0;8128.32;1
279;15622834;678;France;Female;35;4;0;1;1;0;125518.32;0
280;15566111;596;France;Male;39;9;0;1;1;0;48963.59;0
281;15784597;648;France;Male;26;9;162923.85;1;1;0;98368.24;0
282;15652883;492;Germany;Male;39;10;124576.65;2;1;0;148584.61;0
283;15806964;702;France;Male;45;0;80793.58;1;1;1;27474.81;0
284;15576313;486;Germany;Female;40;9;71340.09;1;1;0;76192.21;0
285;15806467;568;Germany;Male;40;1;99282.63;1;0;0;134600.94;1
286;15705521;548;Germany;Female;33;0;101084.36;1;1;0;42749.85;0
287;15595039;545;Germany;Female;37;8;114754.08;1;1;0;136050.44;1
288;15799384;683;France;Male;33;8;0;1;0;0;73564.44;0
289;15624623;516;France;Male;35;10;104088.59;2;0;0;119666;0
290;15690134;464;Germany;Female;42;3;85679.25;1;1;1;164104.74;0
291;15672145;534;France;Female;34;7;121551.58;2;1;1;70179;0
292;15732628;745;France;Male;46;2;122220.19;1;1;1;118024.1;0
293;15787470;553;Spain;Male;47;3;116528.15;1;0;0;145704.19;1
294;15803406;748;France;Female;26;1;77780.29;1;0;1;183049.41;0
295;15644572;501;France;Male;40;4;125832.2;1;1;1;100433.83;0
296;15694860;675;France;Female;38;6;68065.8;1;0;0;138777;1
297;15794396;494;Germany;Female;38;7;174937.64;1;1;0;40084.32;0
298;15785798;850;France;Male;40;9;0;2;0;1;119232.33;0
299;15710825;592;Spain;Male;31;7;110071.1;1;0;0;43921.36;0
300;15726631;758;France;Female;39;6;127357.76;1;0;1;56577;0
301;15747960;733;France;Male;33;3;0;1;1;1;7666.73;0
302;15634632;711;France;Male;38;3;0;2;1;0;68487.51;0
303;15707362;514;Germany;Male;43;1;95556.31;1;0;1;199273.98;1
304;15662976;637;Spain;Male;37;8;0;1;1;1;186062.36;0
305;15732778;468;Germany;Male;29;1;111681.98;2;1;1;195711.16;0
306;15718443;539;France;Male;39;3;0;2;1;0;36692.17;0
307;15670039;509;Spain;Female;25;3;108738.71;2;1;0;106920.57;0
308;15773792;662;France;Female;32;4;133950.37;1;1;1;48725.68;1
309;15613786;818;Spain;Male;26;4;0;2;1;1;167036.94;0
310;15726032;608;France;Male;33;9;89968.69;1;1;0;68777.26;0
311;15663252;850;Spain;Female;32;9;0;2;1;1;18924.92;0
312;15593782;816;Germany;Female;38;5;130878.75;3;1;0;71905.77;1
313;15633283;536;France;Male;35;8;0;2;1;0;64833.28;0
314;15749167;753;France;Male;35;3;0;2;1;1;184843.77;0
315;15759298;631;Spain;Male;27;10;134169.62;1;1;1;176730.02;0
316;15683625;703;France;Male;37;1;149762.08;1;1;0;20629.4;1
317;15681705;785;France;Male;28;8;0;2;1;0;77231.27;0
318;15603156;571;France;Female;33;1;0;2;1;0;102750.7;0
319;15798888;605;Germany;Female;31;1;117992.59;1;1;1;183598.77;0
320;15797736;658;France;Male;29;4;80262.6;1;1;1;20612.82;0
321;15578186;486;Germany;Male;37;9;115217.99;2;1;0;144995.33;0
322;15637954;730;France;Female;35;0;155470.55;1;1;1;53718.28;0
323;15758639;641;France;Male;37;7;0;2;1;0;75248.3;0
324;15731744;692;France;Male;30;2;0;2;0;1;130486.57;0
325;15807709;714;Germany;Female;55;9;180075.22;1;1;1;100127.71;0
326;15714689;591;Spain;Male;29;1;97541.24;1;1;1;196356.17;0
327;15585865;673;France;Female;38;2;170061.92;2;0;0;134901.34;1
328;15733616;806;France;Male;40;5;80613.93;1;1;1;142838.64;0
329;15591995;757;Germany;Male;26;8;121581.56;2;1;1;127059.04;0
330;15677020;570;France;Female;58;8;0;1;0;1;116503.92;1
331;15714485;774;France;Male;60;5;85891.55;1;1;0;74135.48;1
332;15598883;599;Spain;Female;37;2;0;2;1;1;143739.29;0
333;15568506;524;Germany;Female;31;10;67238.98;2;1;1;161811.23;0
334;15761043;632;Germany;Female;38;6;86569.76;2;1;0;98090.91;0
335;15682048;605;France;Female;51;3;136188.78;1;1;1;67110.59;1
336;15746902;793;Spain;Male;38;9;0;2;1;0;88225.02;0
337;15752081;468;France;Female;56;10;0;3;0;1;62256.87;1
338;15781307;779;Germany;Male;37;7;120092.52;2;1;0;135925.72;0
339;15745417;707;France;Male;58;6;89685.92;1;0;1;126471.13;0
340;15671256;850;France;Female;35;1;211774.31;1;1;0;188574.12;1
341;15653547;850;France;Male;56;7;131317.48;1;1;1;119175.45;0
342;15742358;696;Germany;Male;32;8;101160.99;1;1;1;115916.55;0
343;15786063;776;France;Female;31;2;0;2;1;1;112349.51;0
344;15600258;701;France;Male;43;2;0;2;1;1;165303.79;0
345;15573318;610;France;Male;26;8;0;2;1;0;166031.08;0
346;15653849;572;Germany;Female;48;3;152827.99;1;1;0;38411.79;1
347;15736112;519;Spain;Female;57;2;119035.35;2;1;1;29871.79;0
348;15749851;702;Spain;Female;26;4;135219.57;1;0;1;59747.63;0
349;15592300;543;Spain;Male;35;10;59408.63;1;1;0;76773.53;0
350;15776780;608;France;Male;59;1;0;1;1;0;70649.64;1
351;15592846;639;Germany;Male;35;10;128173.9;2;1;0;59093.39;0
352;15739803;686;Spain;Male;34;9;0;2;1;0;127569.8;0
353;15794142;564;Germany;Female;62;5;114931.35;3;0;1;18260.98;1
354;15762729;745;Germany;Female;28;1;111071.36;1;1;0;73275.96;1
355;15667896;833;France;Male;37;8;151226.18;2;1;1;136129.49;0
356;15626578;622;France;Male;26;9;0;2;1;1;153237.59;0
357;15776223;597;France;Female;42;4;64740.12;1;1;1;106841.12;0
358;15802593;504;France;Female;49;7;0;3;0;1;87822.14;1
359;15615457;842;Spain;Female;44;2;112652.08;2;1;0;126644.98;0
360;15720187;479;Germany;Female;30;7;143964.36;2;1;0;41879.99;0
361;15595440;508;France;Male;49;7;122451.46;2;1;1;75808.1;0
362;15600651;749;France;Male;24;1;0;3;1;1;47911.03;0
363;15750141;721;Germany;Female;36;3;65253.07;2;1;0;28737.78;0
364;15657284;674;Germany;Male;47;6;106901.94;1;1;1;2079.2;1
365;15709324;417;France;Male;34;7;0;2;1;0;55003.79;0
366;15711309;574;Germany;Male;33;3;129834.67;1;1;0;193131.42;0
367;15775318;590;Spain;Female;51;3;154962.99;3;0;1;191932.27;1
368;15634844;598;Germany;Male;41;3;91536.93;1;1;0;191468.78;1
369;15717046;741;Spain;Male;53;3;0;2;1;1;38913.68;0
370;15571816;850;Spain;Female;70;5;0;1;1;1;705.18;0
371;15670080;584;Germany;Female;29;7;105204.01;1;0;1;138490.03;0
372;15665678;607;Spain;Male;36;8;158261.68;1;1;1;76744.72;0
373;15665956;509;France;Female;46;1;0;1;1;0;71244.59;1
374;15788126;689;Spain;Female;38;6;121021.05;1;1;1;12182.15;0
375;15811773;543;France;Male;36;4;0;2;1;1;141210.5;0
376;15651674;438;Spain;Female;54;2;0;1;0;0;191763.07;1
377;15689614;687;Spain;Female;63;1;137715.66;1;1;1;37938.74;0
378;15795564;737;Germany;Male;31;5;121192.22;2;1;1;74890.58;0
379;15730076;651;France;Male;45;1;0;1;1;0;67740.08;1
380;15622003;745;France;Male;35;9;92566.53;2;1;0;161519.77;0
381;15607312;648;Spain;Female;49;10;0;2;1;1;159835.78;1
382;15644753;848;Spain;Male;40;3;110929.96;1;1;1;30876.84;0
383;15761986;439;Spain;Female;32;3;138901.61;1;1;0;75685.97;0
384;15633922;755;France;Male;30;4;123217.66;2;0;1;144183.1;0
385;15692671;701;Spain;Male;36;8;0;2;1;0;169161.46;0
386;15737741;607;Spain;Female;33;2;108431.87;2;0;1;109291.39;1
387;15576352;586;Spain;Female;57;3;0;2;0;1;6057.81;0
388;15803689;647;Germany;Female;51;1;119741.77;2;0;0;54954.51;1
389;15718057;760;France;Female;51;2;100946.71;1;0;0;179614.8;1
390;15722010;621;Spain;Male;53;9;170491.84;1;1;0;35588.07;1
391;15680998;725;France;Male;44;5;0;1;1;1;117356.14;0
392;15614782;526;France;Male;36;1;0;1;1;0;160696.72;0
393;15591047;519;Spain;Female;47;6;157296.02;2;0;0;147278.43;1
394;15604044;700;France;Male;38;8;134811.3;1;1;0;1299.75;0
395;15679587;666;France;Female;34;9;115897.12;1;1;1;25095.03;0
