RowNumber;CustomerId;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary
6430;15770811;519;France;Male;36;9;0;2;0;1;145562.4
6431;15614049;664;France;Male;55;8;0;2;1;1;139161.64
6432;15662085;678;France;Female;32;9;0;1;1;1;148210.64
6433;15641732;543;France;Female;36;3;0;2;0;0;26019.59
6434;15805254;652;Spain;Female;75;10;0;2;1;1;114675.75
6435;15622897;646;France;Female;46;4;0;3;1;0;93251.42
6436;15767954;635;Germany;Female;28;3;81623.67;2;1;1;156791.36
6437;15731511;808;France;Male;45;7;118626.55;2;1;0;147132.46
6438;15809248;524;France;Female;36;10;0;2;1;0;109614.57
6439;15640635;769;France;Male;29;8;0;2;1;1;172290.61
6440;15699461;515;Spain;Male;35;10;176273.95;1;0;1;121277.78
6441;15580146;738;France;Male;31;9;82674.15;1;1;0;41970.72
6442;15776605;528;Spain;Male;36;7;0;2;1;0;60536.56
6443;15744689;479;Germany;Male;35;9;92833.89;1;1;0;99449.86
6444;15715951;562;France;Male;42;2;100238.35;1;0;0;86797.41
6445;15580203;674;Spain;Male;39;6;120193.42;1;0;0;100130.95
6446;15690673;656;France;Female;39;6;0;2;1;0;141069.88
6447;15760085;684;Germany;Female;48;10;126384.42;1;1;1;198129.36
6448;15779659;625;France;Female;28;3;0;1;0;0;183646.41
6449;15627360;432;France;Male;42;9;152603.45;1;1;0;110265.24
6450;15782688;625;Germany;Male;56;0;148507.24;1;1;0;46824.08
6451;15575492;828;France;Female;41;7;0;2;1;0;171378.77
6452;15677871;687;France;Male;38;9;122570.87;1;1;1;35608.88
6453;15584518;589;Germany;Female;50;5;144895.05;2;1;1;34941.23
6454;15724944;663;France;Male;34;7;0;2;1;1;180427.24
6455;15754105;650;France;Male;37;5;106967.18;1;0;0;24495.03
6456;15759618;535;France;Female;48;9;0;1;1;0;149892.79
6457;15679145;706;Spain;Male;57;7;0;1;1;0;17941.16
6458;15589975;646;France;Female;73;6;97259.25;1;0;1;104719.66
6459;15641122;684;France;Male;30;2;0;2;1;0;83473.82
6460;15587562;484;France;Female;29;4;130114.39;1;1;0;164017.89
6461;15789669;510;France;Male;65;2;0;2;1;1;48071.61
6462;15810845;636;France;Male;42;2;0;2;1;1;55470.78
6463;15719377;804;France;Female;50;4;0;1;1;1;8546.87
6464;15708710;525;Spain;Female;37;0;0;1;0;1;131521.72
6465;15726676;616;Spain;Male;30;5;0;2;0;1;196108.51
6466;15756850;479;France;Male;40;1;0;2;0;0;114996.43
6467;15777892;721;Germany;Male;37;3;107720.64;1;1;1;158591.12
6468;15622911;759;France;Male;42;4;105420.18;1;0;1;121409.06
6469;15684181;643;France;Male;45;5;0;1;1;0;142513.5
6470;15612087;671;France;Male;45;2;106376.85;1;0;1;158264.62
6471;15624592;603;France;Male;31;8;0;2;1;1;169915.02
6472;15573152;620;France;Female;41;9;0;2;0;0;88852.47
6473;15594917;676;France;Female;34;1;63095.01;1;1;1;40645.81
6474;15659366;807;France;Male;43;1;105799.32;2;1;0;34888.04
6475;15774854;592;France;Male;54;8;0;1;1;1;28737.71
6476;15725311;726;France;Female;31;9;114722.05;2;1;1;98178.57
6477;15787155;514;Spain;Male;30;7;0;1;0;1;125010.24
6478;15727829;567;France;Male;42;2;0;2;1;1;167984.61
6479;15774393;694;France;Female;30;9;0;2;1;1;26960.31
6480;15676895;547;Germany;Female;39;6;74596.15;3;1;1;85746.52
6481;15787174;512;France;Female;37;1;0;2;0;1;156105.03
6482;15764866;539;Germany;Female;43;3;116220.5;3;1;0;55803.96
6483;15651001;725;Germany;Female;39;5;116803.8;1;1;0;124052.97
6484;15813844;703;France;Male;37;8;105961.68;2;0;1;74158.8
6485;15596175;659;Germany;Male;67;6;117411.6;1;1;1;45071.09
6486;15599792;545;France;Female;26;1;0;2;1;1;199638.56
6487;15772423;739;Germany;Male;54;8;126418.14;1;1;0;134420.75
6488;15694717;544;Germany;Male;37;2;79731.91;1;1;1;57558.95
6489;15700696;738;Spain;Male;31;9;79019.8;1;1;1;18606.23
6490;15787071;650;Spain;Male;41;9;0;2;0;1;191599.67
6491;15796505;811;Germany;Female;34;1;149297.19;2;1;1;186339.74
6492;15725166;707;France;Male;30;8;0;2;1;0;33159.37
6493;15758685;706;Spain;Female;37;7;0;2;1;1;110899.3
6494;15694456;756;France;Male;62;3;0;1;1;1;11199.04
6495;15669169;775;Spain;Male;29;10;0;2;1;1;68143.93
6496;15643024;479;Germany;Male;35;4;138718.92;1;1;1;47251.79
6497;15699389;807;France;Male;42;7;118274.71;1;1;1;25885.72
6498;15790678;475;France;Female;32;8;119023.28;1;1;0;100816.29
6499;15727556;744;Spain;Female;26;5;166297.89;1;1;1;181694.44
6500;15697307;588;Spain;Male;34;10;0;2;1;0;79078.91
6501;15607098;747;Spain;Female;41;5;94521.17;2;1;0;194926.86
6502;15655774;583;France;Male;27;7;0;2;1;0;51285.49
6503;15650068;511;France;Male;58;0;149117.31;1;1;1;162599.51
6504;15624188;712;France;Female;33;6;0;2;1;1;190686.16
6505;15660211;629;Germany;Male;35;7;156847.29;2;1;0;31824.29
6506;15746726;438;Germany;Male;31;8;78398.69;1;1;0;44937.01
6507;15702919;729;Germany;Male;30;6;63669.42;1;1;0;145111.37
6508;15674398;642;France;Male;38;3;0;2;0;0;171463.83
6509;15662736;559;France;Male;49;2;147069.78;1;1;0;120540.83
6510;15736601;716;France;Male;35;4;144428.87;1;1;0;134132.65
6511;15736008;644;France;Female;46;9;95441.27;1;1;0;108761.05
6512;15669064;671;Germany;Male;35;1;144848.74;1;1;1;179012.3
6513;15624528;664;Germany;Male;26;7;116244.14;2;1;1;95145.14
6514;15598493;656;France;Male;50;7;0;2;0;1;72143.44
6515;15601274;667;Spain;Female;40;1;146502.07;1;1;0;19162.89
6516;15742668;626;Spain;Female;37;6;108269.37;1;1;0;5597.94
6517;15697441;485;France;Male;29;7;182123.79;1;1;0;116828.51
6518;15740476;659;Germany;Female;32;3;150923.74;2;0;1;174652.51
6519;15648064;649;France;Male;33;2;0;2;1;0;2010.98
6520;15807923;716;Germany;Female;39;10;115301.31;1;1;0;43527.4
6521;15681081;545;Spain;Female;47;5;0;2;1;1;38970.14
6522;15785869;718;France;Female;25;7;0;2;1;0;30380.12
6523;15763859;840;France;Female;43;7;0;2;1;0;90908.95
6524;15735203;654;Germany;Female;32;1;114510.85;1;1;1;126143.23
6525;15576256;582;France;Male;39;5;0;2;1;1;129892.93
6526;15659420;659;Spain;Male;32;3;107594.11;2;1;1;102416.84
6527;15625461;613;France;Female;45;1;187841.99;2;1;1;147224.27
6528;15592386;520;France;Male;58;3;0;2;0;1;32790.02
6529;15706365;648;France;Female;50;9;102535.57;1;1;1;189543.19
6530;15676715;640;France;Male;68;9;0;2;1;1;199493.38
6531;15694506;611;Germany;Male;31;0;107884.81;2;1;1;183487.98
6532;15583456;745;Germany;Male;45;10;117231.63;3;1;1;122381.02
6533;15677371;629;Spain;Female;30;2;34013.63;1;1;0;19570.63
6534;15591509;690;France;Male;36;7;101583.11;2;1;0;123775.15
6535;15720910;560;France;Female;66;9;0;1;1;1;15928.49
6536;15776433;730;Spain;Male;62;2;0;2;1;1;186489.95
6537;15717225;544;France;Female;21;10;161525.96;2;1;0;9262.77
6538;15684548;556;Spain;Male;38;8;0;2;0;0;417.41
6539;15807432;645;Germany;Female;37;2;136925.09;2;0;1;153400.24
6540;15612187;547;Germany;Male;32;8;155726.85;1;1;0;67789.99
6541;15747795;593;Germany;Female;38;4;129499.42;1;1;1;154071.27
6542;15732674;443;Spain;Male;36;6;70438.01;2;0;1;56937.43
6543;15701376;668;Germany;Male;37;10;152958.29;2;1;1;159585.61
6544;15810418;756;Germany;Female;60;3;115924.89;1;1;0;93524.19
6545;15716186;586;France;Female;38;2;0;2;1;0;87168.46
6546;15597602;619;Germany;Male;57;3;137946.39;1;1;1;72467.99
6547;15743040;724;Germany;Male;41;2;127892.57;2;0;1;199645.45
6548;15581197;762;France;Female;51;3;99286.98;1;0;1;85578.63
6549;15693737;627;Germany;Female;30;4;79871.02;2;1;0;129826.89
6550;15783501;800;France;Female;38;2;168190.33;2;1;0;68052.08
6551;15782735;626;France;Female;35;3;0;1;0;0;80190.36
6552;15611088;790;France;Female;31;9;0;2;1;0;84126.75
6553;15730460;722;France;Male;37;2;0;1;0;0;120906.83
6554;15658169;778;Spain;Female;47;6;127299.34;2;1;0;124694.99
6555;15668444;590;Spain;Female;44;3;139432.37;1;1;0;62222.81
6556;15733797;506;France;Male;36;5;0;2;1;0;164253.35
6557;15635367;774;France;Male;26;2;93844.69;1;1;0;28415.36
6558;15591986;621;Germany;Male;46;6;141078.37;1;0;0;34580.8
6559;15809722;611;France;Female;40;8;100812.33;2;1;0;147358.27
6560;15677538;569;France;Male;38;7;0;1;1;1;108469.2
6561;15695585;788;Spain;Male;34;6;156478.62;1;0;1;181196.76
6562;15744398;525;France;Female;23;5;0;2;1;0;160249.1
6563;15750658;798;France;Male;37;8;0;3;0;0;110783.28
6564;15676519;615;Spain;Male;61;9;0;2;1;0;150227.85
6565;15613772;542;France;Male;39;3;135096.77;1;1;1;14353.43
6566;15699005;710;France;Female;41;2;156067.05;1;1;1;9983.88
6567;15624170;639;France;Female;38;4;81550.94;2;0;1;118974.77
6568;15725679;531;France;Female;47;6;0;1;0;0;194998.34
6569;15804256;765;Germany;Male;36;8;92310.54;2;1;1;72924.56
6570;15662403;622;France;Female;32;6;169089.38;2;1;0;101057.95
6571;15727688;555;Spain;Male;32;4;0;2;1;1;54405.79
6572;15715941;692;France;Male;54;5;0;2;1;1;88721.84
6573;15730059;638;Spain;Male;44;9;77637.35;2;1;1;111346.22
6574;15715527;543;Spain;Female;41;4;0;1;0;0;194902.16
6575;15576623;584;France;Male;31;5;0;2;1;0;31474.27
6576;15805565;691;Germany;Male;30;7;116927.89;1;1;0;21198.39
6577;15677307;684;Germany;Female;40;6;137326.65;1;1;0;186976.6
6578;15773890;733;France;Male;22;5;0;2;1;1;117202.19
6579;15782236;735;Spain;Male;34;5;0;2;0;0;71095.41
6580;15593601;734;France;Male;34;6;133598.4;1;1;1;13107.24
6581;15775912;698;France;Male;48;4;101238.24;2;0;1;177815.87
6582;15595766;527;Spain;Male;37;5;93722.73;2;1;1;139093.73
6583;15763274;661;France;Male;48;3;120320.54;1;0;0;96463.25
6584;15694272;673;France;Male;30;1;64097.75;1;1;1;77783.35
6585;15663478;729;France;Male;32;6;93694.42;1;1;1;79919.13
6586;15567832;550;France;Female;40;7;114354.95;1;1;0;54018.93
6587;15705953;721;Spain;Male;51;0;169312.13;1;1;0;109078.35
6588;15708916;587;France;Male;38;0;0;2;1;0;47414.15
6589;15763063;685;Spain;Female;25;10;128509.63;1;1;0;121562.33
6590;15705515;587;Germany;Male;40;5;138241.9;2;1;0;159418.1
6591;15800440;650;Spain;Male;61;1;152968.73;1;0;1;82970.69
6592;15706647;761;France;Male;31;7;0;3;1;1;166698.18
6593;15728505;601;France;Male;44;1;100486.18;2;1;1;62678.53
6594;15653620;546;France;Female;27;8;0;2;1;1;14858.1
6595;15734674;593;France;Female;41;6;0;1;1;0;65170.66
6596;15658032;701;France;Male;39;2;0;2;1;1;82526.92
6597;15753719;547;Germany;Female;30;9;72392.41;1;1;0;77077.14
6598;15788291;713;Germany;Female;38;7;144606.22;1;1;1;56594.36
6599;15603925;779;Spain;Female;26;4;174318.13;2;0;1;38296.21
6600;15697183;685;Spain;Male;43;9;0;2;1;0;107811.28
6601;15567446;646;Germany;Male;39;9;111574.41;1;1;1;30838.51
6602;15683503;601;France;Female;43;8;0;3;0;1;110916.15
6603;15645569;762;Spain;Female;26;7;123709.46;2;1;1;169654.57
6604;15592387;566;France;Male;30;5;0;1;1;0;54926.51
6605;15814035;601;France;Male;29;9;0;1;1;1;80393.27
6606;15661249;699;France;Male;53;4;0;2;0;1;111307.98
6607;15586585;698;Germany;Female;51;2;111018.98;1;1;0;86410.28
6608;15603203;650;France;Female;27;6;0;2;1;0;1002.39
6609;15805062;667;Spain;Male;38;1;87202.38;1;1;1;77866.91
6610;15594594;546;Spain;Male;42;7;139070.51;1;1;1;86945
6611;15646161;673;Spain;Female;37;8;0;2;1;1;183318.79
6612;15604119;850;Spain;Male;35;7;110349.82;1;0;0;126355.8
6613;15626900;427;France;Male;29;1;141325.56;1;1;1;93839.3
6614;15712403;589;France;Female;61;1;0;1;1;0;61108.56
6615;15811762;583;Germany;Female;54;6;115988.86;1;1;0;57553.98
6616;15718673;839;Spain;Female;33;10;75592.43;1;1;0;62674.42
6617;15809663;583;France;Female;27;1;125406.58;1;1;1;110784.42
6618;15730830;752;France;Female;30;3;0;2;1;1;104991.28
6619;15703119;652;France;Male;38;6;0;2;1;1;145700.22
6620;15568595;544;France;Male;64;9;113829.45;1;1;1;124341.49
6621;15788659;695;France;Male;46;4;0;2;1;1;137537.22
6622;15575024;503;France;Male;29;3;0;2;1;1;143954.99
6623;15754605;563;France;Female;39;5;0;2;1;1;17603.81
6624;15715142;739;Germany;Male;45;7;102703.62;1;0;1;147802.94
6625;15780804;482;France;Male;55;5;97318.25;1;0;1;78416.14
6626;15747867;583;France;Male;24;9;135125.28;1;0;0;89801.9
6627;15801277;715;France;Female;31;2;112212.14;2;1;1;181600.72
6628;15579334;769;Germany;Female;45;5;126674.81;1;1;0;124118.71
6629;15740900;589;France;Male;34;6;0;2;1;1;177896.92
6630;15748625;664;France;Male;57;6;0;2;1;1;15304.08
6631;15736534;742;Germany;Male;33;0;181656.51;1;1;1;107667.91
6632;15803457;750;France;Female;32;5;0;2;1;0;95611.47
6633;15603436;594;Spain;Female;49;2;126615.94;2;0;1;123214.74
6634;15566292;574;Spain;Male;36;1;0;2;0;1;71709.12
6635;15773809;620;France;Male;42;4;0;2;1;0;6232.31
6636;15734886;686;France;Female;34;3;123971.51;2;1;0;147794.63
6637;15722548;540;France;Male;48;0;148116.48;1;0;0;116973.48
6638;15804072;701;Spain;Female;42;5;0;2;0;0;24210.56
6639;15578761;459;Spain;Female;42;6;129634.25;2;1;1;177683.02
6640;15571973;776;France;Female;38;2;169824.46;1;1;0;169291.7
6641;15673570;580;France;Male;37;9;0;2;0;1;77108.66
6642;15767432;711;France;Female;25;7;0;3;1;1;9679.28
6643;15790757;769;France;Female;25;10;0;2;0;0;187925.75
6644;15723873;657;Spain;Male;31;3;125167.02;1;0;0;98820.39
6645;15612966;545;Germany;Female;60;7;128981.07;1;0;1;176924.21
6646;15766741;525;France;Male;36;2;114628.4;1;0;1;168290.06
6647;15705639;692;France;Female;28;8;95059.02;2;1;0;44420.18
6648;15637414;618;France;Female;24;7;128736.39;1;0;1;37147.61
6649;15696231;635;France;Male;29;7;105405.97;1;1;1;149853.89
6650;15640059;606;France;Male;40;5;0;2;1;1;70899.27
6651;15787619;844;France;Male;18;2;160980.03;1;0;0;145936.28
6652;15634245;758;Germany;Female;47;9;95523.16;1;1;0;73294.48
6653;15677305;490;France;Female;35;7;107749.03;1;1;1;3937.37
6654;15660101;803;France;Male;31;9;157120.86;2;1;0;141300.53
6655;15637979;664;Germany;Female;36;2;127160.78;2;1;0;78140.75
6656;15625944;664;France;Male;58;5;98668.18;1;1;1;60887.58
6657;15583212;600;France;Female;43;5;134022.06;1;1;0;194764.83
6658;15672056;710;Germany;Male;43;2;140080.32;3;1;1;157908.19
6659;15810864;700;France;Female;82;2;0;2;0;1;182055.36
6660;15724296;684;Spain;Male;41;2;119782.72;2;0;0;120284.67
6661;15628936;692;Spain;Male;28;9;118945.09;1;0;0;16064.25
6662;15797227;754;France;Male;28;8;0;2;1;1;52615.62
6663;15737051;639;France;Male;27;8;0;2;1;0;192247.35
6664;15585595;774;France;Female;28;1;71264.02;2;0;1;68759.57
6665;15745196;571;France;Female;35;8;0;2;0;0;84569.13
6666;15660155;792;Spain;Male;36;5;92140.15;1;0;1;67468.67
6667;15605284;688;France;Male;26;1;0;2;1;1;104435.94
6668;15643696;611;France;Male;49;3;0;2;1;1;142917.54
6669;15707473;850;Germany;Female;48;6;111962.99;1;1;0;111755.8
6670;15776807;654;France;Male;29;1;0;1;1;0;180345.44
6671;15668747;702;France;Female;46;9;98444.19;1;0;1;109563.28
6672;15766908;488;Germany;Male;32;3;114540.38;1;1;0;92568.07
6673;15570134;683;France;Female;35;6;187530.66;2;1;1;37976.36
6674;15567367;601;Germany;Female;42;9;133636.16;1;0;1;103315.74
6675;15747542;605;France;Male;52;7;0;2;1;1;173952.5
6676;15712825;511;Spain;Female;29;9;0;2;0;1;140676.98
6677;15640280;850;France;Male;39;4;127771.35;2;0;1;151738.54
6678;15798906;628;France;Male;69;5;0;2;1;1;181964.6
6679;15708917;598;Germany;Male;53;10;167772.96;1;1;1;136886.86
6680;15619708;745;France;Male;25;5;157993.15;2;1;0;146041.45
6681;15734565;696;France;Male;29;8;0;2;1;0;191166.09
6682;15596939;659;Germany;Male;36;4;132578.92;2;1;0;84320.94
6683;15716155;841;France;Female;36;5;156021.31;1;0;0;122662.98
6684;15765311;642;Spain;Male;34;8;0;1;1;0;72085.1
6685;15757811;732;Spain;Female;69;9;137453.43;1;0;1;110932.24
6686;15603830;600;Spain;Male;36;4;0;2;1;0;143635.36
6687;15666633;758;Spain;Male;56;1;0;2;1;1;10643.38
6688;15596914;630;Germany;Female;31;2;112373.49;2;1;1;131167.98
6689;15695846;684;France;Female;34;6;0;2;1;1;130928.22
6690;15575883;559;France;Male;34;2;137390.11;2;1;0;9677
6691;15589488;686;Germany;Female;56;5;111642.08;1;1;1;80553.87
6692;15707567;732;Germany;Male;50;6;145338.76;1;0;0;91936.1
6693;15608968;714;Germany;Male;21;6;86402.52;2;0;0;27330.59
6694;15809087;598;France;Male;64;1;0;2;1;0;195635.3
6695;15686983;678;Germany;Female;25;10;76968.12;2;0;1;131501.72
6696;15710424;435;France;Male;36;4;0;1;1;1;197015.2
6697;15799422;535;France;Female;40;8;0;1;1;1;27689.77
6698;15581229;502;Germany;Female;32;1;173340.83;1;0;1;122763.95
6699;15656333;574;France;Female;33;3;134348.57;1;1;0;63163.99
6700;15697497;518;France;Female;45;9;105525.65;2;1;1;73418.29
6701;15585362;749;France;Female;60;6;0;1;1;0;17978.68
6702;15591711;739;Spain;Male;38;0;128366.44;1;1;0;12796.43
6703;15768104;788;Spain;Male;37;8;141541.25;1;0;0;66013.27
6704;15585255;577;France;Male;42;9;0;1;1;0;74077.91
6705;15733119;718;France;Male;35;8;0;2;1;0;94820.85
6706;15632210;657;Germany;Male;25;2;171770.55;1;1;0;22745.5
6707;15792388;645;France;Female;48;7;90612.34;1;1;1;149139.13
6708;15794580;599;France;Male;58;4;0;1;0;0;176407.15
6709;15693814;806;Spain;Male;25;7;0;2;1;0;18461.9
6710;15746490;648;Spain;Female;53;6;111201.41;1;1;1;121542.29
6711;15655961;756;Germany;Male;27;1;131899;1;1;0;93302.29
6712;15710404;569;France;Male;35;10;124525.52;1;1;1;193793.78
6713;15792328;475;France;Male;39;6;0;1;1;1;56999.9
6714;15719856;646;France;Female;45;3;47134.75;1;1;1;57236.44
6715;15593773;784;Spain;Male;35;3;0;2;0;0;81483.64
6716;15743411;609;Spain;Male;61;1;0;1;1;0;22447.85
6717;15601026;572;Germany;Female;19;1;138657.08;1;1;1;16161.82
6718;15633461;639;Germany;Male;38;5;130170.82;1;1;1;149599.62
6719;15677135;520;Germany;Male;61;8;133802.29;2;1;1;90304.01
6720;15590876;764;France;Female;24;7;106234.02;1;0;0;115676.38
6721;15790782;661;Spain;Male;39;6;132628.98;1;0;0;38812.67
6722;15662100;850;Germany;Female;44;5;128605.32;1;0;1;171096.2
6723;15599289;724;France;Female;37;10;68598.56;1;1;0;157862.82
6724;15745324;599;Spain;Female;39;4;0;1;1;0;194273.2
6725;15783659;659;France;Male;67;4;145981.87;1;1;1;131043.2
6726;15620981;684;France;Female;48;3;73309.38;1;0;0;21228.34
6727;15671139;694;Spain;Male;39;0;107042.74;1;1;1;102284.2
6728;15731522;771;Spain;Female;67;8;0;2;1;1;51219.8
6729;15582797;685;Spain;Male;35;4;137948.51;1;1;0;113639.64
6730;15641009;544;France;Male;37;3;84496.71;1;0;0;79972.09
6731;15605926;649;Germany;Male;70;9;116854.71;2;0;1;107125.79
6732;15801488;723;France;Male;25;3;0;2;1;1;134509.47
6733;15605918;635;Germany;Male;43;5;78992.75;2;0;0;153265.31
6734;15655339;566;France;Male;36;1;142120.91;1;1;0;79616.37
6735;15664521;659;Spain;Male;31;7;149620.88;2;1;1;104533.51
6736;15745527;655;France;Male;37;5;93147;2;1;0;66214.13
6737;15724563;752;Germany;Female;42;3;65046.08;2;0;1;140139.28
6738;15645621;811;Spain;Male;44;3;0;2;0;1;78439.73
6739;15608114;587;Spain;Male;62;7;121286.27;1;0;1;6776.92
6740;15659557;811;Germany;Female;28;4;167738.82;2;1;1;9903.42
6741;15787772;759;France;Female;38;1;104091.29;1;0;0;91561.91
6742;15691111;648;Germany;Female;42;8;121980.56;2;1;0;4027.02
6743;15592089;788;France;Female;43;10;0;2;1;1;116111.51
6744;15569050;444;France;Male;45;6;0;1;1;0;130009.85
6745;15655274;548;France;Female;29;4;0;2;0;1;48673.18
6746;15686936;676;France;Female;37;5;89634.69;1;1;1;169583.18
6747;15600583;633;France;Male;31;1;0;1;1;0;48606.71
6748;15654673;625;France;Male;49;6;173434.9;1;1;0;165580.93
6749;15717164;485;Spain;Male;32;6;102238.01;2;1;1;194010.12
6750;15765014;547;France;Female;48;1;179380.74;2;0;1;69263.1
6751;15729279;718;France;Female;25;4;108691.95;1;1;0;63030.97
6752;15759805;582;France;Female;32;4;0;2;1;0;59668.81
6753;15688071;609;Spain;Male;53;10;0;1;1;1;154642.91
6754;15667521;631;France;Female;22;3;0;2;0;0;30781.77
6755;15750243;830;Spain;Male;40;4;0;2;0;1;81622.52
6756;15780870;580;Spain;Male;67;3;153946.14;1;1;1;7418.92
6757;15644200;807;Spain;Female;42;1;0;1;1;0;16500.66
6758;15645103;812;Germany;Male;25;5;54817.55;1;1;0;131660.31
6759;15715003;625;Spain;Female;49;2;80816.45;1;1;1;20018.79
6760;15743016;602;Spain;Female;22;7;141604.76;1;1;0;30379.6
6761;15692991;710;Spain;Female;38;4;0;2;1;1;136390.88
6762;15631189;613;Germany;Male;38;9;67111.65;1;1;0;78566.64
6763;15762198;812;France;Male;34;5;103818.43;1;1;1;166038.27
6764;15699598;723;France;Female;20;4;0;2;1;1;140385.33
6765;15688963;731;France;Female;52;10;0;1;1;1;24998.75
6766;15648075;686;Germany;Female;47;5;170935.94;1;1;0;173179.79
6767;15790497;503;Spain;Male;37;6;0;2;0;0;136506.86
6768;15682618;535;France;Female;31;7;111855.04;2;1;1;36278.89
6769;15750929;702;Spain;Male;39;8;0;2;1;0;99654.13
6770;15729832;658;France;Male;29;3;145512.84;1;1;0;20207.02
6771;15589195;766;Germany;Female;38;7;130933.74;1;0;1;2035.94
6772;15663438;688;Spain;Male;36;0;89772.3;1;1;0;177383.68
6773;15646513;803;France;Male;42;5;0;1;1;0;196466.83
6774;15708063;712;France;Male;36;2;100749.5;3;0;0;70758.37
6775;15784092;732;France;Male;36;7;126195.81;1;1;1;133172.48
6776;15585198;715;France;Male;41;4;94267.9;1;0;1;152821.12
6777;15624347;651;France;Male;40;4;0;2;1;1;147715.83
6778;15689081;692;France;Male;29;4;0;1;1;0;76755.99
6779;15813168;756;Germany;Female;39;3;100717.85;3;1;1;73406.04
6780;15673055;494;Spain;Male;38;7;0;2;1;1;6203.66
6781;15624293;514;France;Female;46;3;106511.85;1;1;0;55072.32
6782;15660316;420;Germany;Female;34;1;135549.9;1;0;0;149471.13
6783;15678886;679;Germany;Male;38;7;110555.37;2;1;0;46522.68
6784;15616330;595;France;Male;31;4;0;2;1;0;189995.86
6785;15592229;713;France;Female;52;0;185891.54;1;1;1;46369.57
6786;15714750;690;France;Female;42;3;92578.14;2;0;0;70810.6
6787;15626147;608;France;Female;62;8;144976.5;1;0;0;175836.03
6788;15789955;698;Germany;Male;56;1;112414.81;2;0;0;93982.02
6789;15596800;779;Germany;Male;33;1;158456.76;1;1;1;197000.92
6790;15647301;549;Germany;Female;45;3;143734.01;2;1;1;96404.38
6791;15706899;559;France;Male;34;4;0;2;1;1;66721.98
6792;15732660;769;France;Female;27;2;0;1;1;1;57876.05
6793;15656121;733;Germany;Male;31;6;157791.07;2;0;0;177994.81
6794;15645269;583;France;Female;42;4;0;2;1;0;17439.66
6795;15569247;727;Spain;Female;57;1;109679.72;1;0;1;753.37
6796;15605965;630;France;Male;43;9;0;2;1;1;34338.04
6797;15575581;614;Germany;Female;30;3;131344.52;2;1;0;54776.64
6798;15773906;655;France;Male;38;4;0;2;0;0;110527.71
6799;15722993;700;France;Female;27;6;137963.07;1;0;0;8996.79
6800;15589754;652;Germany;Male;45;2;151421.44;1;0;1;115333.43
6801;15766887;538;Spain;Male;39;2;122773.5;2;1;1;58467.08
6802;15768006;729;France;Male;34;3;152303.8;1;1;0;12128.69
6803;15741295;615;France;Male;49;3;0;2;1;1;49872.33
6804;15750776;850;France;Female;36;0;164850.54;1;1;1;62722.44
6805;15723907;712;Germany;Female;49;5;154776.42;2;0;0;196257.68
6806;15710456;607;France;Female;27;2;0;2;1;0;63495.86
6807;15697789;647;Germany;Female;43;3;122717.53;2;1;1;87000.39
6808;15588670;705;Spain;Female;40;5;203715.15;1;1;0;179978.68
6809;15721292;719;Spain;Male;39;5;0;2;1;0;145759.7
6810;15604217;726;France;Male;34;9;0;2;0;0;14121.61
6811;15600992;652;France;Male;36;1;0;2;1;1;151314.98
